OUTLETID,BUSNAME,ADDR1,CITY,STATE,ZIP,COLLECTIONHOURS1,COLLECTIONHOURS2,COLLECTIONHOURS3,COLLECTIONHOURS4,COLLECTIONHOURS5,COLLECTIONHOURS6,COLLECTIONHOURS7,LATITUDE,LONGITUDE
0720100015,USPS COLLECTION BOX - BLUE BOX,878 E GRAND ST,ELIZABETH,NJ,07201,MO 10:00 AM,TU 10:00 AM,WE 10:00 AM,TH 10:00 AM,FR 10:00 AM,SA 10:00 AM,,40.6642887331,-74.2014971009
1179300047,USPS COLLECTION BOX - BLUE BOX,3535 JERUSALEM AVE,WANTAGH,NY,11793,MO 10:00 AM,TU 10:00 AM,WE 10:00 AM,TH 10:00 AM,FR 10:00 AM,SA 10:00 AM,,40.693968,-73.5011685
7450100022,USPS COLLECTION BOX - BLUE BOX,124 E CHOCTAW AVE,MCALESTER,OK,74501,MO 04:00 PM,TU 04:00 PM,WE 04:00 PM,TH 04:00 PM,FR 04:00 PM,,,34.9316691341,-95.7675868689
2122300016,USPS COLLECTION BOX - BLUE BOX,601 N BENTALOU ST,BALTIMORE,MD,21223,MO 09:00 AM,TU 09:00 AM,WE 09:00 AM,TH 09:00 AM,FR 09:00 AM,SA 09:00 AM,,39.295278618,-76.653228103
8644400002,USPS COLLECTION BOX - BLUE BOX,250 E PUEBLO DR,KINGMAN,AZ,86444,MO 12:30 PM,TU 12:30 PM,WE 12:30 PM,TH 12:30 PM,FR 12:30 PM,SA 12:30 PM,,36.0006719856,-114.0654549999
4946100008,USPS COLLECTION BOX - BLUE BOX,2755 W HOLTON WHITEHALL RD,WHITEHALL,MI,49461,MO 10:00 AM,TU 10:00 AM,WE 10:00 AM,TH 10:00 AM,FR 10:00 AM,SA 10:00 AM,,43.409855397,-86.307768009
1906400058,USPS COLLECTION BOX - BLUE BOX,19 N BROOKSIDE RD,SPRINGFIELD,PA,19064,MO 11:00 AM,TU 11:00 AM,WE 11:00 AM,TH 11:00 AM,FR 11:00 AM,SA 01:00 PM,,39.934611,-75.328893
1155200038,USPS COLLECTION BOX - BLUE BOX,144 CHERRY VALLEY AVE,WEST HEMPSTEAD,NY,11552,MO 10:30 AM,TU 10:30 AM,WE 10:30 AM,TH 10:30 AM,FR 10:30 AM,SA 10:30 AM,,40.7099837891,-73.6529236775
9080600098,USPS COLLECTION BOX - PO LOBBY,1920 PACIFIC AVE LOBBY,LONG BEACH,CA,90806,MO 05:00 PM,TU 05:00 PM,WE 05:00 PM,TH 05:00 PM,FR 05:00 PM,SA 05:00 PM,,33.792193844,-118.1936484031
5530600012,USPS COLLECTION BOX - BLUE BOX,1751 SOUTHCROSS DR W,BURNSVILLE,MN,55306,MO 03:00 PM,TU 03:00 PM,WE 03:00 PM,TH 03:00 PM,FR 03:00 PM,SA 09:00 AM,,44.736624,-93.301353
9411200099,USPS COLLECTION BOX - BLUE BOX,599 FRANCE AVE,SAN FRANCISCO,CA,94112,MO 11:45 AM,TU 11:45 AM,WE 11:45 AM,TH 11:45 AM,FR 11:45 AM,SA 09:30 AM,,37.7178316169,-122.4336024183
5946800002,USPS COLLECTION BOX - PO LOBBY,406 CENTRAL AVE,POWER,MT,59468,MO 11:00 AM,TU 11:00 AM,WE 11:00 AM,TH 11:00 AM,FR 11:00 AM,,,47.7159851192,-111.6864538193
5946800003,USPS COLLECTION BOX - BLUE BOX,406 CENTRAL AVE,POWER,MT,59468,MO 05:15 PM,TU 05:15 PM,WE 05:15 PM,TH 05:15 PM,FR 05:15 PM,SA 04:15 PM,,47.7159851192,-111.6864538193
1175600024,USPS COLLECTION BOX - BLUE BOX,2731 HEMPSTEAD TPKE,LEVITTOWN,NY,11756,MO 01:00 PM,TU 01:00 PM,WE 01:00 PM,TH 01:00 PM,FR 01:00 PM,SA 01:00 PM,,40.72473,-73.5347115
6063700113,USPS COLLECTION BOX - BLUE BOX,6459 S COTTAGE GROVE AVE,CHICAGO,IL,60637,MO 12:00 PM,TU 12:00 PM,WE 12:00 PM,TH 12:00 PM,FR 12:00 PM,SA 10:00 AM,,41.7775168878,-87.6057937495
5702800011,USPS COLLECTION BOX - BLUE BOX,200 W 3RD AVE,FLANDREAU,SD,57028,MO 04:15 PM,TU 04:15 PM,WE 04:15 PM,TH 04:15 PM,FR 04:15 PM,SA 04:30 PM,,44.047438191,-96.59740873
1002500028,USPS COLLECTION BOX - BLUE BOX,2599 BROADWAY,NEW  YORK,NY,10025,MO 04:00 PM,TU 04:00 PM,WE 04:00 PM,TH 04:00 PM,FR 04:00 PM,SA 11:00 AM,,40.795947,-73.9711755
1046600012,USPS COLLECTION BOX - BLUE BOX,4360 BAYCHESTER AVE,BRONX,NY,10466,MO 11:45 AM,TU 11:45 AM,WE 11:45 AM,TH 11:45 AM,FR 11:45 AM,SA 11:45 AM,,40.8990119192,-73.8459397992
4411000009,USPS COLLECTION BOX - BLUE BOX,14930 SAINT CLAIR AVE,CLEVELAND,OH,44110,MO 10:00 AM,TU 10:00 AM,WE 10:00 AM,TH 10:00 AM,FR 10:00 AM,SA 10:00 AM,,41.552721,-81.5770845
5736400001,USPS COLLECTION BOX - BLUE BOX,208 E MAIN ST,NEW HOLLAND,SD,57364,MO 01:45 PM,TU 01:45 PM,WE 01:45 PM,TH 01:45 PM,FR 01:45 PM,SA 10:45 AM,,43.427720107,-98.60643213
5736400002,USPS COLLECTION BOX - PO LOBBY,208 E MAIN ST,NEW HOLLAND,SD,57364,MO 11:30 AM,TU 11:30 AM,WE 11:30 AM,TH 11:30 AM,FR 11:30 AM,SA 11:00 AM,,43.427720107,-98.60643213
5736300001,USPS COLLECTION BOX - BLUE BOX,115 S MAIN ST,MOUNT VERNON,SD,57363,MO 03:30 PM,TU 03:30 PM,WE 03:30 PM,TH 03:30 PM,FR 03:30 PM,SA 03:30 PM,,43.709922,-98.2606499967
5736300003,USPS COLLECTION BOX - PO LOBBY,115 S MAIN ST,MOUNT VERNON,SD,57363,MO 11:00 AM,TU 11:00 AM,WE 11:00 AM,TH 11:00 AM,FR 11:00 AM,SA 09:00 AM,,43.709922,-98.2606499967
6064400068,USPS COLLECTION BOX - BLUE BOX,5001 W POLK ST,CHICAGO,IL,60644,MO 12:00 PM,TU 12:00 PM,WE 12:00 PM,TH 12:00 PM,FR 12:00 PM,SA 12:00 PM,,41.869548,-87.749415
1000100216,USPS COLLECTION BOX - BLUE BOX,245 11TH AVE,NEW YORK,NY,10001,MO 02:00 PM,TU 02:00 PM,WE 02:00 PM,TH 02:00 PM,FR 02:00 PM,SA 09:00 AM,,40.750880621,-74.00564583
1110100006,USPS COLLECTION BOX - BLUE BOX,4962 VAN DAM ST,LONG IS CITY,NY,11101,MO 02:00 PM,TU 02:00 PM,WE 02:00 PM,TH 02:00 PM,FR 02:00 PM,SA 08:00 AM,,40.738176125,-73.934905761
1110100134,USPS COLLECTION BOX - BLUE BOX,4725 34TH ST,LONG IS CITY,NY,11101,MO 02:00 PM,TU 02:00 PM,WE 02:00 PM,TH 02:00 PM,FR 02:00 PM,SA 08:00 AM,,40.741335,-73.9309275
2078300074,USPS COLLECTION BOX - BLUE BOX,9010 RIGGS RD,HYATTSVILLE,MD,20783,MO 11:20 AM,TU 11:20 AM,WE 11:20 AM,TH 11:20 AM,FR 11:20 AM,SA 12:00 PM,,39.004686,-76.9717215
1123400091,USPS COLLECTION BOX - BLUE BOX,289 WHITMAN DR,BROOKLYN,NY,11234,MO 10:00 AM,TU 10:00 AM,WE 10:00 AM,TH 10:00 AM,FR 10:00 AM,SA 08:00 AM,,40.6067850427,-73.9056606078
1122900065,USPS COLLECTION BOX - BLUE BOX,2920 QUENTIN RD,BROOKLYN,NY,11229,MO 08:00 AM,TU 08:00 AM,WE 08:00 AM,TH 08:00 AM,FR 08:00 AM,SA 07:00 AM,,40.6097832265,-73.9439456334
6913300004,USPS COLLECTION BOX - PO LOBBY,115 MYRTLE ST,DIX,NE,69133,MO 11:45 AM,TU 11:45 AM,WE 11:45 AM,TH 11:45 AM,FR 11:45 AM,SA 08:45 AM,,41.2349999409,-103.4874566639
6913300006,USPS COLLECTION BOX - PO LOBBY,115 MYRTLE ST,DIX,NE,69133,MO 11:45 AM,TU 11:45 AM,WE 11:45 AM,TH 11:45 AM,FR 11:45 AM,SA 08:45 AM,,41.2349999409,-103.4874566639
4410600026,USPS COLLECTION BOX - BLUE BOX,2156 DEMINGTON DR,CLEVELAND,OH,44106,MO 10:00 AM,TU 10:00 AM,WE 10:00 AM,TH 10:00 AM,FR 10:00 AM,SA 10:00 AM,,41.500899,-81.5853555
1002200025,USPS COLLECTION BOX - BLUE BOX,420 E 54TH ST,NEW YORK,NY,10022,MO 04:00 PM,TU 04:00 PM,WE 04:00 PM,TH 04:00 PM,FR 04:00 PM,SA 01:00 PM,,40.7559133664,-73.963291573
1137500006,USPS COLLECTION BOX - BLUE BOX,9644 72ND RD,FLUSHING,NY,11375,MO 12:00 PM,TU 12:00 PM,WE 12:00 PM,TH 12:00 PM,FR 12:00 PM,SA 10:00 AM,,40.709704988,-73.84724843
6018700084,USPS COLLECTION BOX - BLUE BOX,1701 LAKECLIFF DR,WHEATON,IL,60187,MO 02:00 PM,TU 02:00 PM,WE 02:00 PM,TH 02:00 PM,FR 02:00 PM,SA 02:00 PM,,41.8420165171,-88.0852203559
